   0	 128	 256	 384
   1	 129	 257	 385
   2	 130	 258	 386
   3	 131	 259	 387
   4	 132	 260	 388
   5	 133	 261	 389
   6	 134	 262	 390
   7	 135	 263	 391
   8	 136	 264	 392
   9	 137	 265	 393
  10	 138	 266	 394
  11	 139	 267	 395
  12	 140	 268	 396
  13	 141	 269	 397
  14	 142	 270	 398
  15	 143	 271	 399
  16	 144	 272	 400
  17	 145	 273	 401
  18	 146	 274	 402
  19	 147	 275	 403
  20	 148	 276	 404
  21	 149	 277	 405
  22	 150	 278	 406
  23	 151	 279	 407
  24	 152	 280	 408
  25	 153	 281	 409
  26	 154	 282	 410
  27	 155	 283	 411
  28	 156	 284	 412
  29	 157	 285	 413
  30	 158	 286	 414
  31	 159	 287	 415
  32	 160	 288	 416
  33	 161	 289	 417
  34	 162	 290	 418
  35	 163	 291	 419
  36	 164	 292	 420
  37	 165	 293	 421
  38	 166	 294	 422
  39	 167	 295	 423
  40	 168	 296	 424
  41	 169	 297	 425
  42	 170	 298	 426
  43	 171	 299	 427
  44	 172	 300	 428
  45	 173	 301	 429
  46	 174	 302	 430
  47	 175	 303	 431
  48	 176	 304	 432
  49	 177	 305	 433
  50	 178	 306	 434
  51	 179	 307	 435
  52	 180	 308	 436
  53	 181	 309	 437
  54	 182	 310	 438
  55	 183	 311	 439
  56	 184	 312	 440
  57	 185	 313	 441
  58	 186	 314	 442
  59	 187	 315	 443
  60	 188	 316	 444
  61	 189	 317	 445
  62	 190	 318	 446
  63	 191	 319	 447
  64	 192	 320	 448
  65	 193	 321	 449
  66	 194	 322	 450
  67	 195	 323	 451
  68	 196	 324	 452
  69	 197	 325	 453
  70	 198	 326	 454
  71	 199	 327	 455
  72	 200	 328	 456
  73	 201	 329	 457
  74	 202	 330	 458
  75	 203	 331	 459
  76	 204	 332	 460
  77	 205	 333	 461
  78	 206	 334	 462
  79	 207	 335	 463
  80	 208	 336	 464
  81	 209	 337	 465
  82	 210	 338	 466
  83	 211	 339	 467
  84	 212	 340	 468
  85	 213	 341	 469
  86	 214	 342	 470
  87	 215	 343	 471
  88	 216	 344	 472
  89	 217	 345	 473
  90	 218	 346	 474
  91	 219	 347	 475
  92	 220	 348	 476
  93	 221	 349	 477
  94	 222	 350	 478
  95	 223	 351	 479
  96	 224	 352	 480
  97	 225	 353	 481
  98	 226	 354	 482
  99	 227	 355	 483
 100	 228	 356	 484
 101	 229	 357	 485
 102	 230	 358	 486
 103	 231	 359	 487
 104	 232	 360	 488
 105	 233	 361	 489
 106	 234	 362	 490
 107	 235	 363	 491
 108	 236	 364	 492
 109	 237	 365	 493
 110	 238	 366	 494
 111	 239	 367	 495
 112	 240	 368	 496
 113	 241	 369	 497
 114	 242	 370	 498
 115	 243	 371	 499
 116	 244	 372	 500
 117	 245	 373	 501
 118	 246	 374	 502
 119	 247	 375	 503
 120	 248	 376	 504
 121	 249	 377	 505
 122	 250	 378	 506
 123	 251	 379	 507
 124	 252	 380	 508
 125	 253	 381	 509
 126	 254	 382	 510
 127	 255	 383	 511
 640	 512	 896	 768
 641	 513	 897	 769
 642	 514	 898	 770
 643	 515	 899	 771
 644	 516	 900	 772
 645	 517	 901	 773
 646	 518	 902	 774
 647	 519	 903	 775
 648	 520	 904	 776
 649	 521	 905	 777
 650	 522	 906	 778
 651	 523	 907	 779
 652	 524	 908	 780
 653	 525	 909	 781
 654	 526	 910	 782
 655	 527	 911	 783
 656	 528	 912	 784
 657	 529	 913	 785
 658	 530	 914	 786
 659	 531	 915	 787
 660	 532	 916	 788
 661	 533	 917	 789
 662	 534	 918	 790
 663	 535	 919	 791
 664	 536	 920	 792
 665	 537	 921	 793
 666	 538	 922	 794
 667	 539	 923	 795
 668	 540	 924	 796
 669	 541	 925	 797
 670	 542	 926	 798
 671	 543	 927	 799
 672	 544	 928	 800
 673	 545	 929	 801
 674	 546	 930	 802
 675	 547	 931	 803
 676	 548	 932	 804
 677	 549	 933	 805
 678	 550	 934	 806
 679	 551	 935	 807
 680	 552	 936	 808
 681	 553	 937	 809
 682	 554	 938	 810
 683	 555	 939	 811
 684	 556	 940	 812
 685	 557	 941	 813
 686	 558	 942	 814
 687	 559	 943	 815
 688	 560	 944	 816
 689	 561	 945	 817
 690	 562	 946	 818
 691	 563	 947	 819
 692	 564	 948	 820
 693	 565	 949	 821
 694	 566	 950	 822
 695	 567	 951	 823
 696	 568	 952	 824
 697	 569	 953	 825
 698	 570	 954	 826
 699	 571	 955	 827
