   0	  64	 128	 192
   1	  65	 129	 193
   2	  66	 130	 194
   3	  67	 131	 195
   4	  68	 132	 196
   5	  69	 133	 197
   6	  70	 134	 198
   7	  71	 135	 199
   8	  72	 136	 200
   9	  73	 137	 201
  10	  74	 138	 202
  11	  75	 139	 203
  12	  76	 140	 204
  13	  77	 141	 205
  14	  78	 142	 206
  15	  79	 143	 207
  16	  80	 144	 208
  17	  81	 145	 209
  18	  82	 146	 210
  19	  83	 147	 211
  20	  84	 148	 212
  21	  85	 149	 213
  22	  86	 150	 214
  23	  87	 151	 215
  24	  88	 152	 216
  25	  89	 153	 217
  26	  90	 154	 218
  27	  91	 155	 219
  28	  92	 156	 220
  29	  93	 157	 221
  30	  94	 158	 222
  31	  95	 159	 223
  32	  96	 160	 224
  33	  97	 161	 225
  34	  98	 162	 226
  35	  99	 163	 227
  36	 100	 164	 228
  37	 101	 165	 229
  38	 102	 166	 230
  39	 103	 167	 231
  40	 104	 168	 232
  41	 105	 169	 233
  42	 106	 170	 234
  43	 107	 171	 235
  44	 108	 172	 236
  45	 109	 173	 237
  46	 110	 174	 238
  47	 111	 175	 239
  48	 112	 176	 240
  49	 113	 177	 241
  50	 114	 178	 242
  51	 115	 179	 243
  52	 116	 180	 244
  53	 117	 181	 245
  54	 118	 182	 246
  55	 119	 183	 247
  56	 120	 184	 248
  57	 121	 185	 249
  58	 122	 186	 250
  59	 123	 187	 251
  60	 124	 188	 252
  61	 125	 189	 253
  62	 126	 190	 254
  63	 127	 191	 255
 320	 256	 448	 384
 321	 257	 449	 385
 322	 258	 450	 386
 323	 259	 451	 387
 324	 260	 452	 388
 325	 261	 453	 389
 326	 262	 454	 390
 327	 263	 455	 391
 328	 264	 456	 392
 329	 265	 457	 393
 330	 266	 458	 394
 331	 267	 459	 395
 332	 268	 460	 396
 333	 269	 461	 397
 334	 270	 462	 398
 335	 271	 463	 399
 336	 272	 464	 400
 337	 273	 465	 401
 338	 274	 466	 402
 339	 275	 467	 403
 340	 276	 468	 404
 341	 277	 469	 405
 342	 278	 470	 406
 343	 279	 471	 407
 344	 280	 472	 408
 345	 281	 473	 409
 346	 282	 474	 410
 347	 283	 475	 411
 348	 284	 476	 412
 349	 285	 477	 413
 350	 286	 478	 414
 351	 287	 479	 415
 352	 288	 480	 416
 353	 289	 481	 417
 354	 290	 482	 418
 355	 291	 483	 419
 356	 292	 484	 420
 357	 293	 485	 421
 358	 294	 486	 422
 359	 295	 487	 423
 360	 296	 488	 424
 361	 297	 489	 425
 362	 298	 490	 426
 363	 299	 491	 427
 364	 300	 492	 428
 365	 301	 493	 429
 366	 302	 494	 430
 367	 303	 495	 431
 368	 304	 496	 432
 369	 305	 497	 433
 370	 306	 498	 434
 371	 307	 499	 435
 372	 308	 500	 436
 373	 309	 501	 437
 374	 310	 502	 438
 375	 311	 503	 439
 376	 312	 504	 440
 377	 313	 505	 441
 378	 314	 506	 442
 379	 315	 507	 443
 380	 316	 508	 444
 381	 317	 509	 445
 382	 318	 510	 446
 383	 319	 511	 447
 512	 576	 640	 704
 513	 577	 641	 705
 514	 578	 642	 706
 515	 579	 643	 707
 516	 580	 644	 708
 517	 581	 645	 709
 518	 582	 646	 710
 519	 583	 647	 711
 520	 584	 648	 712
 521	 585	 649	 713
 522	 586	 650	 714
 523	 587	 651	 715
 524	 588	 652	 716
 525	 589	 653	 717
 526	 590	 654	 718
 527	 591	 655	 719
 528	 592	 656	 720
 529	 593	 657	 721
 530	 594	 658	 722
 531	 595	 659	 723
 532	 596	 660	 724
 533	 597	 661	 725
 534	 598	 662	 726
 535	 599	 663	 727
 536	 600	 664	 728
 537	 601	 665	 729
 538	 602	 666	 730
 539	 603	 667	 731
 540	 604	 668	 732
 541	 605	 669	 733
 542	 606	 670	 734
 543	 607	 671	 735
 544	 608	 672	 736
 545	 609	 673	 737
 546	 610	 674	 738
 547	 611	 675	 739
 548	 612	 676	 740
 549	 613	 677	 741
 550	 614	 678	 742
 551	 615	 679	 743
 552	 616	 680	 744
 553	 617	 681	 745
 554	 618	 682	 746
 555	 619	 683	 747
 556	 620	 684	 748
 557	 621	 685	 749
 558	 622	 686	 750
 559	 623	 687	 751
 560	 624	 688	 752
 561	 625	 689	 753
 562	 626	 690	 754
 563	 627	 691	 755
 564	 628	 692	 756
 565	 629	 693	 757
 566	 630	 694	 758
 567	 631	 695	 759
 568	 632	 696	 760
 569	 633	 697	 761
 570	 634	 698	 762
 571	 635	 699	 763
 572	 636	 700	 764
 573	 637	 701	 765
 574	 638	 702	 766
 575	 639	 703	 767
 832	 768	 960	 896
 833	 769	 961	 897
 834	 770	 962	 898
 835	 771	 963	 899
 836	 772	 964	 900
 837	 773	 965	 901
 838	 774	 966	 902
 839	 775	 967	 903
 840	 776	 968	 904
 841	 777	 969	 905
 842	 778	 970	 906
 843	 779	 971	 907
 844	 780	 972	 908
 845	 781	 973	 909
 846	 782	 974	 910
 847	 783	 975	 911
 848	 784	 976	 912
 849	 785	 977	 913
 850	 786	 978	 914
 851	 787	 979	 915
 852	 788	 980	 916
 853	 789	 981	 917
 854	 790	 982	 918
 855	 791	 983	 919
 856	 792	 984	 920
 857	 793	 985	 921
 858	 794	 986	 922
 859	 795	 987	 923
 860	 796	 988	 924
 861	 797	 989	 925
 862	 798	 990	 926
 863	 799	 991	 927
 864	 800	 992	 928
 865	 801	 993	 929
 866	 802	 994	 930
 867	 803	 995	 931
 868	 804	 996	 932
 869	 805	 997	 933
 870	 806	 998	 934
 871	 807	 999	 935
 872	 808	1000	 936
 873	 809	1001	 937
 874	 810	1002	 938
 875	 811	1003	 939
 876	 812	1004	 940
 877	 813	1005	 941
 878	 814	1006	 942
 879	 815	1007	 943
 880	 816	1008	 944
 881	 817	1009	 945
 882	 818	1010	 946
 883	 819	1011	 947
 884	 820	1012	 948
 885	 821	1013	 949
 886	 822	1014	 950
 887	 823	1015	 951
 888	 824	1016	 952
 889	 825	1017	 953
 890	 826	1018	 954
 891	 827	1019	 955
 892	 828	1020	 956
 893	 829	1021	 957
 894	 830	1022	 958
 895	 831	1023	 959
