   0	  32	  64	  96
   1	  33	  65	  97
   2	  34	  66	  98
   3	  35	  67	  99
   4	  36	  68	 100
   5	  37	  69	 101
   6	  38	  70	 102
   7	  39	  71	 103
   8	  40	  72	 104
   9	  41	  73	 105
  10	  42	  74	 106
  11	  43	  75	 107
  12	  44	  76	 108
  13	  45	  77	 109
  14	  46	  78	 110
  15	  47	  79	 111
  16	  48	  80	 112
  17	  49	  81	 113
  18	  50	  82	 114
  19	  51	  83	 115
  20	  52	  84	 116
  21	  53	  85	 117
  22	  54	  86	 118
  23	  55	  87	 119
  24	  56	  88	 120
  25	  57	  89	 121
  26	  58	  90	 122
  27	  59	  91	 123
  28	  60	  92	 124
  29	  61	  93	 125
  30	  62	  94	 126
  31	  63	  95	 127
 160	 128	 224	 192
 161	 129	 225	 193
 162	 130	 226	 194
 163	 131	 227	 195
 164	 132	 228	 196
 165	 133	 229	 197
 166	 134	 230	 198
 167	 135	 231	 199
 168	 136	 232	 200
 169	 137	 233	 201
 170	 138	 234	 202
 171	 139	 235	 203
 172	 140	 236	 204
 173	 141	 237	 205
 174	 142	 238	 206
 175	 143	 239	 207
 176	 144	 240	 208
 177	 145	 241	 209
 178	 146	 242	 210
 179	 147	 243	 211
 180	 148	 244	 212
 181	 149	 245	 213
 182	 150	 246	 214
 183	 151	 247	 215
 184	 152	 248	 216
 185	 153	 249	 217
 186	 154	 250	 218
 187	 155	 251	 219
 188	 156	 252	 220
 189	 157	 253	 221
 190	 158	 254	 222
 191	 159	 255	 223
 256	 288	 320	 352
 257	 289	 321	 353
 258	 290	 322	 354
 259	 291	 323	 355
 260	 292	 324	 356
 261	 293	 325	 357
 262	 294	 326	 358
 263	 295	 327	 359
 264	 296	 328	 360
 265	 297	 329	 361
 266	 298	 330	 362
 267	 299	 331	 363
 268	 300	 332	 364
 269	 301	 333	 365
 270	 302	 334	 366
 271	 303	 335	 367
 272	 304	 336	 368
 273	 305	 337	 369
 274	 306	 338	 370
 275	 307	 339	 371
 276	 308	 340	 372
 277	 309	 341	 373
 278	 310	 342	 374
 279	 311	 343	 375
 280	 312	 344	 376
 281	 313	 345	 377
 282	 314	 346	 378
 283	 315	 347	 379
 284	 316	 348	 380
 285	 317	 349	 381
 286	 318	 350	 382
 287	 319	 351	 383
 416	 384	 480	 448
 417	 385	 481	 449
 418	 386	 482	 450
 419	 387	 483	 451
 420	 388	 484	 452
 421	 389	 485	 453
 422	 390	 486	 454
 423	 391	 487	 455
 424	 392	 488	 456
 425	 393	 489	 457
 426	 394	 490	 458
 427	 395	 491	 459
 428	 396	 492	 460
 429	 397	 493	 461
 430	 398	 494	 462
 431	 399	 495	 463
 432	 400	 496	 464
 433	 401	 497	 465
 434	 402	 498	 466
 435	 403	 499	 467
 436	 404	 500	 468
 437	 405	 501	 469
 438	 406	 502	 470
 439	 407	 503	 471
 440	 408	 504	 472
 441	 409	 505	 473
 442	 410	 506	 474
 443	 411	 507	 475
 444	 412	 508	 476
 445	 413	 509	 477
 446	 414	 510	 478
 447	 415	 511	 479
 512	 544	 576	 608
 513	 545	 577	 609
 514	 546	 578	 610
 515	 547	 579	 611
 516	 548	 580	 612
 517	 549	 581	 613
 518	 550	 582	 614
 519	 551	 583	 615
 520	 552	 584	 616
 521	 553	 585	 617
 522	 554	 586	 618
 523	 555	 587	 619
 524	 556	 588	 620
 525	 557	 589	 621
 526	 558	 590	 622
 527	 559	 591	 623
 528	 560	 592	 624
 529	 561	 593	 625
 530	 562	 594	 626
 531	 563	 595	 627
 532	 564	 596	 628
 533	 565	 597	 629
 534	 566	 598	 630
 535	 567	 599	 631
 536	 568	 600	 632
 537	 569	 601	 633
 538	 570	 602	 634
 539	 571	 603	 635
 540	 572	 604	 636
 541	 573	 605	 637
 542	 574	 606	 638
 543	 575	 607	 639
 672	 640	 736	 704
 673	 641	 737	 705
 674	 642	 738	 706
 675	 643	 739	 707
 676	 644	 740	 708
 677	 645	 741	 709
 678	 646	 742	 710
 679	 647	 743	 711
 680	 648	 744	 712
 681	 649	 745	 713
 682	 650	 746	 714
 683	 651	 747	 715
 684	 652	 748	 716
 685	 653	 749	 717
 686	 654	 750	 718
 687	 655	 751	 719
 688	 656	 752	 720
 689	 657	 753	 721
 690	 658	 754	 722
 691	 659	 755	 723
 692	 660	 756	 724
 693	 661	 757	 725
 694	 662	 758	 726
 695	 663	 759	 727
 696	 664	 760	 728
 697	 665	 761	 729
 698	 666	 762	 730
 699	 667	 763	 731
 700	 668	 764	 732
 701	 669	 765	 733
 702	 670	 766	 734
 703	 671	 767	 735
 768	 800	 832	 864
 769	 801	 833	 865
 770	 802	 834	 866
 771	 803	 835	 867
 772	 804	 836	 868
 773	 805	 837	 869
 774	 806	 838	 870
 775	 807	 839	 871
 776	 808	 840	 872
 777	 809	 841	 873
 778	 810	 842	 874
 779	 811	 843	 875
 780	 812	 844	 876
 781	 813	 845	 877
 782	 814	 846	 878
 783	 815	 847	 879
 784	 816	 848	 880
 785	 817	 849	 881
 786	 818	 850	 882
 787	 819	 851	 883
 788	 820	 852	 884
 789	 821	 853	 885
 790	 822	 854	 886
 791	 823	 855	 887
 792	 824	 856	 888
 793	 825	 857	 889
 794	 826	 858	 890
 795	 827	 859	 891
 796	 828	 860	 892
 797	 829	 861	 893
 798	 830	 862	 894
 799	 831	 863	 895
 928	 896	 992	 960
 929	 897	 993	 961
 930	 898	 994	 962
 931	 899	 995	 963
 932	 900	 996	 964
 933	 901	 997	 965
 934	 902	 998	 966
 935	 903	 999	 967
 936	 904	1000	 968
 937	 905	1001	 969
 938	 906	1002	 970
 939	 907	1003	 971
 940	 908	1004	 972
 941	 909	1005	 973
 942	 910	1006	 974
 943	 911	1007	 975
 944	 912	1008	 976
 945	 913	1009	 977
 946	 914	1010	 978
 947	 915	1011	 979
 948	 916	1012	 980
 949	 917	1013	 981
 950	 918	1014	 982
 951	 919	1015	 983
 952	 920	1016	 984
 953	 921	1017	 985
 954	 922	1018	 986
 955	 923	1019	 987
 956	 924	1020	 988
 957	 925	1021	 989
 958	 926	1022	 990
 959	 927	1023	 991
