   0	   8	  16	  24
   1	   9	  17	  25
   2	  10	  18	  26
   3	  11	  19	  27
   4	  12	  20	  28
   5	  13	  21	  29
   6	  14	  22	  30
   7	  15	  23	  31
  40	  32	  56	  48
  41	  33	  57	  49
  42	  34	  58	  50
  43	  35	  59	  51
  44	  36	  60	  52
  45	  37	  61	  53
  46	  38	  62	  54
  47	  39	  63	  55
  64	  72	  80	  88
  65	  73	  81	  89
  66	  74	  82	  90
  67	  75	  83	  91
  68	  76	  84	  92
  69	  77	  85	  93
  70	  78	  86	  94
  71	  79	  87	  95
 104	  96	 120	 112
 105	  97	 121	 113
 106	  98	 122	 114
 107	  99	 123	 115
 108	 100	 124	 116
 109	 101	 125	 117
 110	 102	 126	 118
 111	 103	 127	 119
 128	 136	 144	 152
 129	 137	 145	 153
 130	 138	 146	 154
 131	 139	 147	 155
 132	 140	 148	 156
 133	 141	 149	 157
 134	 142	 150	 158
 135	 143	 151	 159
 168	 160	 184	 176
 169	 161	 185	 177
 170	 162	 186	 178
 171	 163	 187	 179
 172	 164	 188	 180
 173	 165	 189	 181
 174	 166	 190	 182
 175	 167	 191	 183
 192	 200	 208	 216
 193	 201	 209	 217
 194	 202	 210	 218
 195	 203	 211	 219
 196	 204	 212	 220
 197	 205	 213	 221
 198	 206	 214	 222
 199	 207	 215	 223
 232	 224	 248	 240
 233	 225	 249	 241
 234	 226	 250	 242
 235	 227	 251	 243
 236	 228	 252	 244
 237	 229	 253	 245
 238	 230	 254	 246
 239	 231	 255	 247
 256	 264	 272	 280
 257	 265	 273	 281
 258	 266	 274	 282
 259	 267	 275	 283
 260	 268	 276	 284
 261	 269	 277	 285
 262	 270	 278	 286
 263	 271	 279	 287
 296	 288	 312	 304
 297	 289	 313	 305
 298	 290	 314	 306
 299	 291	 315	 307
 300	 292	 316	 308
 301	 293	 317	 309
 302	 294	 318	 310
 303	 295	 319	 311
 320	 328	 336	 344
 321	 329	 337	 345
 322	 330	 338	 346
 323	 331	 339	 347
 324	 332	 340	 348
 325	 333	 341	 349
 326	 334	 342	 350
 327	 335	 343	 351
 360	 352	 376	 368
 361	 353	 377	 369
 362	 354	 378	 370
 363	 355	 379	 371
 364	 356	 380	 372
 365	 357	 381	 373
 366	 358	 382	 374
 367	 359	 383	 375
 384	 392	 400	 408
 385	 393	 401	 409
 386	 394	 402	 410
 387	 395	 403	 411
 388	 396	 404	 412
 389	 397	 405	 413
 390	 398	 406	 414
 391	 399	 407	 415
 424	 416	 440	 432
 425	 417	 441	 433
 426	 418	 442	 434
 427	 419	 443	 435
 428	 420	 444	 436
 429	 421	 445	 437
 430	 422	 446	 438
 431	 423	 447	 439
 448	 456	 464	 472
 449	 457	 465	 473
 450	 458	 466	 474
 451	 459	 467	 475
 452	 460	 468	 476
 453	 461	 469	 477
 454	 462	 470	 478
 455	 463	 471	 479
 488	 480	 504	 496
 489	 481	 505	 497
 490	 482	 506	 498
 491	 483	 507	 499
 492	 484	 508	 500
 493	 485	 509	 501
 494	 486	 510	 502
 495	 487	 511	 503
 512	 520	 528	 536
 513	 521	 529	 537
 514	 522	 530	 538
 515	 523	 531	 539
 516	 524	 532	 540
 517	 525	 533	 541
 518	 526	 534	 542
 519	 527	 535	 543
 552	 544	 568	 560
 553	 545	 569	 561
 554	 546	 570	 562
 555	 547	 571	 563
 556	 548	 572	 564
 557	 549	 573	 565
 558	 550	 574	 566
 559	 551	 575	 567
 576	 584	 592	 600
 577	 585	 593	 601
 578	 586	 594	 602
 579	 587	 595	 603
 580	 588	 596	 604
 581	 589	 597	 605
 582	 590	 598	 606
 583	 591	 599	 607
 616	 608	 632	 624
 617	 609	 633	 625
 618	 610	 634	 626
 619	 611	 635	 627
 620	 612	 636	 628
 621	 613	 637	 629
 622	 614	 638	 630
 623	 615	 639	 631
 640	 648	 656	 664
 641	 649	 657	 665
 642	 650	 658	 666
 643	 651	 659	 667
 644	 652	 660	 668
 645	 653	 661	 669
 646	 654	 662	 670
 647	 655	 663	 671
 680	 672	 696	 688
 681	 673	 697	 689
 682	 674	 698	 690
 683	 675	 699	 691
 684	 676	 700	 692
 685	 677	 701	 693
 686	 678	 702	 694
 687	 679	 703	 695
 704	 712	 720	 728
 705	 713	 721	 729
 706	 714	 722	 730
 707	 715	 723	 731
 708	 716	 724	 732
 709	 717	 725	 733
 710	 718	 726	 734
 711	 719	 727	 735
 744	 736	 760	 752
 745	 737	 761	 753
 746	 738	 762	 754
 747	 739	 763	 755
 748	 740	 764	 756
 749	 741	 765	 757
 750	 742	 766	 758
 751	 743	 767	 759
 768	 776	 784	 792
 769	 777	 785	 793
 770	 778	 786	 794
 771	 779	 787	 795
 772	 780	 788	 796
 773	 781	 789	 797
 774	 782	 790	 798
 775	 783	 791	 799
 808	 800	 824	 816
 809	 801	 825	 817
 810	 802	 826	 818
 811	 803	 827	 819
 812	 804	 828	 820
 813	 805	 829	 821
 814	 806	 830	 822
 815	 807	 831	 823
 832	 840	 848	 856
 833	 841	 849	 857
 834	 842	 850	 858
 835	 843	 851	 859
 836	 844	 852	 860
 837	 845	 853	 861
 838	 846	 854	 862
 839	 847	 855	 863
 872	 864	 888	 880
 873	 865	 889	 881
 874	 866	 890	 882
 875	 867	 891	 883
 876	 868	 892	 884
 877	 869	 893	 885
 878	 870	 894	 886
 879	 871	 895	 887
 896	 904	 912	 920
 897	 905	 913	 921
 898	 906	 914	 922
 899	 907	 915	 923
 900	 908	 916	 924
 901	 909	 917	 925
 902	 910	 918	 926
 903	 911	 919	 927
 936	 928	 952	 944
 937	 929	 953	 945
 938	 930	 954	 946
 939	 931	 955	 947
 940	 932	 956	 948
 941	 933	 957	 949
 942	 934	 958	 950
 943	 935	 959	 951
 960	 968	 976	 984
 961	 969	 977	 985
 962	 970	 978	 986
 963	 971	 979	 987
 964	 972	 980	 988
 965	 973	 981	 989
 966	 974	 982	 990
 967	 975	 983	 991
1000	 992	1016	1008
1001	 993	1017	1009
1002	 994	1018	1010
1003	 995	1019	1011
1004	 996	1020	1012
1005	 997	1021	1013
1006	 998	1022	1014
1007	 999	1023	1015
