   0	   4	   8	  12
   1	   5	   9	  13
   2	   6	  10	  14
   3	   7	  11	  15
  20	  16	  28	  24
  21	  17	  29	  25
  22	  18	  30	  26
  23	  19	  31	  27
  32	  36	  40	  44
  33	  37	  41	  45
  34	  38	  42	  46
  35	  39	  43	  47
  52	  48	  60	  56
  53	  49	  61	  57
  54	  50	  62	  58
  55	  51	  63	  59
  64	  68	  72	  76
  65	  69	  73	  77
  66	  70	  74	  78
  67	  71	  75	  79
  84	  80	  92	  88
  85	  81	  93	  89
  86	  82	  94	  90
  87	  83	  95	  91
  96	 100	 104	 108
  97	 101	 105	 109
  98	 102	 106	 110
  99	 103	 107	 111
 116	 112	 124	 120
 117	 113	 125	 121
 118	 114	 126	 122
 119	 115	 127	 123
 128	 132	 136	 140
 129	 133	 137	 141
 130	 134	 138	 142
 131	 135	 139	 143
 148	 144	 156	 152
 149	 145	 157	 153
 150	 146	 158	 154
 151	 147	 159	 155
 160	 164	 168	 172
 161	 165	 169	 173
 162	 166	 170	 174
 163	 167	 171	 175
 180	 176	 188	 184
 181	 177	 189	 185
 182	 178	 190	 186
 183	 179	 191	 187
 192	 196	 200	 204
 193	 197	 201	 205
 194	 198	 202	 206
 195	 199	 203	 207
 212	 208	 220	 216
 213	 209	 221	 217
 214	 210	 222	 218
 215	 211	 223	 219
 224	 228	 232	 236
 225	 229	 233	 237
 226	 230	 234	 238
 227	 231	 235	 239
 244	 240	 252	 248
 245	 241	 253	 249
 246	 242	 254	 250
 247	 243	 255	 251
 256	 260	 264	 268
 257	 261	 265	 269
 258	 262	 266	 270
 259	 263	 267	 271
 276	 272	 284	 280
 277	 273	 285	 281
 278	 274	 286	 282
 279	 275	 287	 283
 288	 292	 296	 300
 289	 293	 297	 301
 290	 294	 298	 302
 291	 295	 299	 303
 308	 304	 316	 312
 309	 305	 317	 313
 310	 306	 318	 314
 311	 307	 319	 315
 320	 324	 328	 332
 321	 325	 329	 333
 322	 326	 330	 334
 323	 327	 331	 335
 340	 336	 348	 344
 341	 337	 349	 345
